DATE,PCEPI_previous,CCI_previous,Retails_previous,CPI_previous,PCEPI,CCI,Retails,CPI,PCEPI_label,CCI_label,Retails_label,CPI_label
2013-1-1,0.016255152,-0.04606,0.042156549,0.017410224,0.014739788,0.08542,0.040092161,0.01599347,0,1,0,0
2013-2-1,0.014739788,0.08542,0.040092161,0.01599347,0.016183636,0.13813,0.041726011,0.019779235,0,1,0,0
2013-3-1,0.016183636,0.13813,0.041726011,0.019779235,0.012914223,0.12755,0.02888612,0.014738962,0,1,0,0
2013-4-1,0.012914223,0.12755,0.02888612,0.014738962,0.010794465,0.12179,0.029886591,0.010630854,0,1,0,0
2013-5-1,0.010794465,0.12179,0.029886591,0.010630854,0.012590974,0.1738,0.03784921,0.013619651,0,1,0,0
2013-6-1,0.012590974,0.1738,0.03784921,0.013619651,0.015285244,0.14368,0.053964999,0.017544165,0,1,1,0
2013-7-1,0.015285244,0.14368,0.053964999,0.017544165,0.016182073,0.10397,0.055562306,0.019606816,0,1,1,0
2013-8-1,0.016182073,0.10397,0.055562306,0.019606816,0.014339246,0.00366,0.039165853,0.015183676,0,1,0,0
2013-9-1,0.014339246,0.00366,0.039165853,0.015183676,0.011665787,-0.06398,0.030528121,0.011849253,0,0,0,0
2013-10-1,0.011665787,-0.06398,0.030528121,0.011849253,0.010379729,-0.07164,0.032243896,0.009636127,0,0,0,0
2013-11-1,0.010379729,-0.07164,0.032243896,0.009636127,0.012643004,0.04347,0.030418104,0.012370722,0,1,0,0
2013-12-1,0.012643004,0.04347,0.030418104,0.012370722,0.014822105,0.11415,0.034415399,0.015017356,0,1,0,0
2014-1-1,0.014822105,0.11415,0.034415399,0.015017356,0.014793575,0.07151,0.016413766,0.015789474,0,1,0,0
2014-2-1,0.014793575,0.07151,0.016413766,0.015789474,0.011684922,0.05711,0.016895386,0.011263493,0,1,0,0
2014-3-1,0.011684922,0.05711,0.016895386,0.011263493,0.015046079,0.10126,0.036631525,0.015122029,0,1,0,0
2014-4-1,0.015046079,0.10126,0.036631525,0.015122029,0.017811856,0.12726,0.052174883,0.019528579,0,1,1,0
